24183048	20150220064746	2015-02	0
20158302	20131117000933	2013-11	0
2769023	20061116051526	2006-11	0
844241	20060127001248	2006-01	0
21450716	20140521113239	2014-05	0
23914561	20150126235103	2015-01	0
13065449	20100913082123	2010-09	0
18001221	20121201164053	2012-12	0
16768147	20120505103056	2012-05	0
15109629	20110809194539	2011-08	0
27602450	20160217163216	2016-02	0
9368423	20090402204754	2009-04	0
253629	20050430150119	2005-04	1
24999565	20150429135920	2015-04	0
7502386	20080719154522	2008-07	0
9177402	20090310042328	2009-03	0
181417	20050201005915	2005-02	1
28095089	20160415105505	2016-04	0
14175	20030626090134	2003-06	0
8682951	20090109001905	2009-01	0
768599	20060109124043	2006-01	0
132494	20041110144109	2004-11	0
9338950	20090330084129	2009-03	0
22551745	20140916030809	2014-09	0
1161488	20060328175508	2006-03	1
21139477	20140407071151	2014-04	0
293095	20050610001752	2005-06	1
16726543	20120427202550	2012-04	0
56722	20040401153139	2004-04	1
189409	20050512023300	2005-05	0
5916827	20071129214350	2007-11	0
6656174	20080313040555	2008-03	1
19057407	20130522095215	2013-05	1
11120509	20091129055842	2009-11	0
102541	20040909001552	2004-09	1
19698144	20130910133614	2013-09	0
1289768	20060420175851	2006-04	0
4203281	20070423055139	2007-04	0
232485	20050408195601	2005-04	0
7209937	20080529233902	2008-05	0
26068384	20150822160718	2015-08	0
239285	20050416001712	2005-04	0
17976844	20121128051032	2012-11	0
14616012	20110520110417	2011-05	0
978011	20060223051058	2006-02	0
9123250	20090303145130	2009-03	0
266774	20050515041623	2005-05	1
24725203	20150411084858	2015-04	0
11001479	20091112140357	2009-11	0
197810	20050223120540	2005-02	0
3439576	20070203015741	2007-02	0
10914649	20091101183358	2009-11	1
2271194	20060919033839	2006-09	1
5109703	20070817052514	2007-08	0
11322724	20091229181419	2009-12	1
16482548	20120315160548	2012-03	0
16318614	20120218051954	2012-02	0
18506202	20130222132436	2013-02	0
16989343	20120613155903	2012-06	0
25970599	20150810063609	2015-08	1
21545496	20140603152159	2014-06	0
16619359	20120409105437	2012-04	0
18943952	20130502151145	2013-05	0
10399741	20090824200127	2009-08	0
16224732	20120203203706	2012-02	1
12125871	20100411194320	2010-04	0
17719905	20121018112006	2012-10	0
12036361	20100330101002	2010-03	1
10980603	20091110011421	2009-11	0
15409888	20110926155346	2011-09	0
15624331	20111029180841	2011-10	0
15461299	20111004150403	2011-10	1
27659056	20160224101505	2016-02	0
11263053	20091219060034	2009-12	0
864331	20060131172000	2006-01	0
11190656	20091208205652	2009-12	0
4519747	20070529225343	2007-05	0
4210745	20070423223231	2007-04	0
473950	20051004001741	2005-10	0
15460331	20111004122524	2011-10	0
25618949	20150627164208	2015-06	0
217011	20050406055311	2005-04	0
162119	20050102205858	2005-01	1
1943060	20060806020828	2006-08	0
286122	20050602194331	2005-06	1
232878	20050409084544	2005-04	1
25815467	20150720235924	2015-07	0
21826496	20140714073220	2014-07	0
185293	20050206023944	2005-02	0
17129677	20120709142846	2012-07	0
15226767	20110828230828	2011-08	0
2706387	20061109160800	2006-11	1
8728512	20090114210522	2009-01	0
13802374	20110116135308	2011-01	0
9402672	20090407143948	2009-04	0
11796789	20100227034201	2010-02	0
625002	20051201040602	2005-12	0
15695182	20111109145742	2011-11	0
18390788	20130205041425	2013-02	0
14768386	20110614170019	2011-06	0
125791	20041029054706	2004-10	1
8177259	20081027154704	2008-10	0
15856691	20111205081144	2011-12	0
10764896	20091013005523	2009-10	0
2599003	20061028172427	2006-10	0
8053282	20081011044108	2008-10	0
9898346	20090613125356	2009-06	0
904227	20060208211050	2006-02	1
21950591	20140729042219	2014-07	0
3905412	20070321221403	2007-03	1
2827137	20061122170817	2006-11	0
1543822	20060601175807	2006-06	0
15541082	20111016235050	2011-10	1
22759167	20141006063730	2014-10	0
5353245	20070918014519	2007-09	0
12910	20030608131729	2003-06	1
12390956	20100518011748	2010-05	0
267085	20050514015145	2005-05	0
11078601	20091123030545	2009-11	0
184056	20050216000427	2005-02	1
23685023	20150105001408	2015-01	0
9813728	20090601221927	2009-06	0
8107212	20081018080242	2008-10	1
27852041	20160316174820	2016-03	0
1722891	20060702235433	2006-07	1
25189087	20150515150913	2015-05	0
13791505	20110114193843	2011-01	0
10216630	20090729162511	2009-07	0
16827633	20120516034629	2012-05	0
264746	20050511181118	2005-05	0
1293415	20060421071533	2006-04	1
13724198	20110104062510	2011-01	0
15565328	20111020145751	2011-10	0
27083172	20151217073317	2015-12	0
2932647	20061204195338	2006-12	0
16609959	20120407131554	2012-04	0
24361630	20150308183254	2015-03	0
18986144	20130509214533	2013-05	0
17917690	20121119013822	2012-11	0
18537753	20130227071904	2013-02	0
2543191	20061022004900	2006-10	1
1991257	20060812222514	2006-08	0
1116626	20060320235529	2006-03	0
164104	20050105204831	2005-01	0
233344	20050409224909	2005-04	0
156547	20041223182038	2004-12	1
4124928	20070414212115	2007-04	0
20861711	20140226004645	2014-02	0
13259885	20101016104122	2010-10	1
16853374	20120520202354	2012-05	0
285995	20050602183840	2005-06	1
15147712	20110816023352	2011-08	0
16786592	20120508183145	2012-05	0
27892893	20160321201921	2016-03	0
19048407	20130520215348	2013-05	0
