,Al_Franken,Amy_Klobuchar,Angus_King,Ben_Cardin,Ben_Sasse,Bernie_Sanders,Bill_Cassidy,Bill_Nelson,Bob_Casey_Jr.,Bob_Corker,Bob_Menendez,Brian_Schatz,Catherine_Cortez_Masto,Chris_Coons,Chris_Murphy_(Connecticut_politician),Chris_Van_Hollen,Chuck_Grassley,Chuck_Schumer,Claire_McCaskill,Cory_Booker,Cory_Gardner,Dan_Sullivan_(U.S._Senator),David_Perdue,Dean_Heller,Deb_Fischer,Debbie_Stabenow,Dianne_Feinstein,Dick_Durbin,Ed_Markey,Elizabeth_Warren,Gary_Peters_(politician),Heidi_Heitkamp,Jack_Reed_(politician),James_Lankford,Jeanne_Shaheen,Jeff_Flake,Jeff_Merkley,Jerry_Moran,Jim_Inhofe,Jim_Risch,Joe_Donnelly,Joe_Manchin,John_Barrasso,John_Boozman,John_Cornyn,John_Hoeven,John_McCain,John_N._Kennedy,John_Thune,Johnny_Isakson,Jon_Tester,Joni_Ernst,Kamala_Harris,Kirsten_Gillibrand,Lamar_Alexander,Lindsey_Graham,Lisa_Murkowski,Luther_Strange,Maggie_Hassan,Marco_Rubio,Maria_Cantwell,Mark_Warner,Martin_Heinrich,Mazie_Hirono,Michael_Bennet,Mike_Crapo,Mike_Enzi,Mike_Lee_(U.S._politician)	,Mike_Rounds,Mitch_McConnell,Orrin_Hatch,Pat_Roberts,Pat_Toomey,Patrick_Leahy,Patty_Murray,Rand_Paul,Richard_Blumenthal,Richard_Burr,Richard_Shelby,Rob_Portman,Roger_Wicker,Ron_Johnson_(U.S._politician),Ron_Wyden,Roy_Blunt,Sheldon_Whitehouse,Shelley_Moore_Capito,Sherrod_Brown,Steve_Daines,Susan_Collins,Tammy_Baldwin,Tammy_Duckworth,Ted_Cruz,Thad_Cochran,Thom_Tillis,Tim_Kaine,Tim_Scott,Todd_Young,Tom_Carper,Tom_Cotton,Tom_Udall
2016-11,80817.0,42627.0,33590.0,16648.0,28154.0,843572.0,8444.0,22321.0,11752.0,85585.0,21842.0,16301.0,66824.0,10086.0,22050.0,31520.0,25242.0,214398.0,25482.0,184539.0,15399.0,7984.0,12544.0,13264.0,8876.0,20123.0,77245.0,38906.0,20947.0,439831.0,10555.0,17712.0,7565.0,16427.0,23253.0,22469.0,13155.0,10529.0,19130.0,5463.0,14745.0,34788.0,9029.0,9084.0,27201.0,8774.0,367926.0,4885.0,12099.0,22858.0,14988.0,19270.0,577075.0,85575.0,18644.0,51210.0,21439.0,2506.0,138952.0,163754.0,14298.0,26964.0,10933.0,26601.0,29214.0,9521.0,6655.0,,4632.0,249195.0,83404.0,7422.0,54939.0,49498.0,26068.0,102940.0,23600.0,43640.0,30142.0,35376.0,8155.0,30485.0,20391.0,37793.0,8910.0,12138.0,54143.0,6940.0,27856.0,31298.0,270911.0,226993.0,11487.0,11946.0,409893.0,40454.0,36432.0,8581.0,63648.0,9764.0
2016-12,42004.0,21692.0,15990.0,11177.0,12596.0,201169.0,7755.0,17069.0,7146.0,30836.0,12516.0,9636.0,14548.0,9977.0,19425.0,12710.0,12179.0,86133.0,15197.0,63924.0,9407.0,6051.0,7121.0,7845.0,6118.0,10483.0,45227.0,19627.0,11899.0,116614.0,7038.0,42474.0,9719.0,7359.0,10058.0,11227.0,7916.0,4350.0,11156.0,4651.0,9087.0,36134.0,6340.0,4719.0,15761.0,7228.0,192397.0,4752.0,8381.0,7133.0,10293.0,12612.0,93674.0,39792.0,13230.0,53067.0,10479.0,2330.0,22512.0,44991.0,12868.0,15453.0,7476.0,12231.0,9211.0,4898.0,4538.0,,3904.0,129770.0,47232.0,5478.0,13659.0,23066.0,10088.0,45465.0,12593.0,12122.0,10197.0,18623.0,5135.0,10261.0,11324.0,11232.0,6480.0,8892.0,24220.0,7737.0,20462.0,14953.0,46245.0,79098.0,7791.0,7954.0,55123.0,19688.0,9034.0,6912.0,18843.0,7538.0
2017-01,256796.0,51157.0,41267.0,32940.0,36147.0,351319.0,23051.0,34817.0,24057.0,39413.0,45059.0,17353.0,36670.0,21029.0,48644.0,26602.0,34183.0,370131.0,39185.0,319188.0,27866.0,11422.0,21299.0,17726.0,13704.0,28408.0,113225.0,53962.0,28112.0,374037.0,13124.0,19410.0,18270.0,16813.0,30980.0,26296.0,21649.0,7764.0,18309.0,13042.0,20478.0,38719.0,15566.0,7825.0,38307.0,8892.0,338850.0,166.0,15777.0,23197.0,15905.0,22358.0,297840.0,116441.0,49017.0,129713.0,23353.0,3576.0,73728.0,95002.0,24785.0,39877.0,17799.0,30556.0,25410.0,13760.0,15143.0,,6892.0,217129.0,125412.0,17711.0,27724.0,63113.0,44252.0,96815.0,37853.0,26258.0,25869.0,26336.0,10778.0,17232.0,37939.0,58081.0,24106.0,13323.0,38565.0,9565.0,65033.0,36179.0,91490.0,140028.0,14026.0,20513.0,101278.0,43192.0,29825.0,15226.0,81149.0,13926.0
2017-02,230653.0,34165.0,54098.0,16207.0,61536.0,269732.0,14053.0,22426.0,18729.0,23407.0,18028.0,13877.0,20666.0,15238.0,39223.0,15493.0,27774.0,189804.0,26339.0,91407.0,36411.0,10843.0,17087.0,19205.0,22779.0,20501.0,77920.0,34008.0,21504.0,549225.0,10594.0,29635.0,9494.0,16099.0,18831.0,24946.0,23227.0,7580.0,13115.0,8289.0,18105.0,91144.0,12745.0,8163.0,37780.0,7785.0,321926.0,132.0,14839.0,14791.0,18652.0,22018.0,143218.0,92268.0,37276.0,66732.0,44643.0,73300.0,41339.0,66811.0,16134.0,40729.0,12968.0,17788.0,17477.0,8838.0,7281.0,,6142.0,234062.0,98478.0,8527.0,45098.0,40142.0,24015.0,66991.0,183596.0,23135.0,19805.0,25255.0,7560.0,13472.0,20683.0,24370.0,19020.0,16894.0,27271.0,17711.0,67405.0,31509.0,49641.0,134720.0,12253.0,21104.0,67453.0,50176.0,17880.0,9520.0,84005.0,15953.0
2017-03,326376.0,58639.0,33876.0,13383.0,55884.0,211621.0,11735.0,20312.0,13779.0,13569.0,21164.0,11390.0,17114.0,21360.0,20812.0,13827.0,41129.0,219826.0,34035.0,153479.0,16708.0,7703.0,13216.0,10796.0,8842.0,15413.0,111272.0,44014.0,14743.0,122169.0,8656.0,16627.0,9498.0,23375.0,13593.0,22508.0,12160.0,5614.0,16199.0,6284.0,12868.0,39363.0,9384.0,6868.0,34547.0,5807.0,220912.0,133.0,9486.0,12912.0,11531.0,16228.0,108475.0,61689.0,14499.0,147866.0,21989.0,26776.0,17207.0,53462.0,12803.0,84133.0,11360.0,26367.0,14169.0,10024.0,5516.0,,4500.0,110162.0,82215.0,10863.0,17956.0,60402.0,15238.0,107006.0,31392.0,50135.0,13924.0,15069.0,6363.0,10821.0,16142.0,14845.0,59639.0,13828.0,18385.0,9279.0,48887.0,20068.0,40144.0,89298.0,10337.0,15304.0,60973.0,17692.0,13373.0,7755.0,70428.0,10822.0
2017-04,73497.0,17641.0,22243.0,11665.0,19489.0,171609.0,6582.0,13517.0,10414.0,13774.0,12391.0,16595.0,12813.0,13984.0,15943.0,11646.0,16487.0,100479.0,19343.0,64489.0,12341.0,6391.0,15328.0,9302.0,6695.0,10582.0,55910.0,21486.0,14314.0,231994.0,6872.0,16972.0,8012.0,15463.0,11779.0,26156.0,22040.0,5234.0,9985.0,5400.0,19536.0,20645.0,7269.0,5044.0,20820.0,5324.0,181925.0,120.0,8663.0,16684.0,12656.0,16282.0,81128.0,43003.0,11473.0,52847.0,11479.0,21509.0,13575.0,40631.0,9805.0,26468.0,6882.0,17530.0,15102.0,5955.0,6520.0,,3836.0,108706.0,58825.0,6412.0,10943.0,26544.0,11986.0,66848.0,17374.0,12588.0,10533.0,10502.0,5850.0,8309.0,12056.0,10050.0,11441.0,7805.0,15256.0,7688.0,25962.0,15622.0,36168.0,66765.0,7966.0,8705.0,38740.0,11540.0,9137.0,6578.0,24826.0,8716.0
2017-05,185669.0,63694.0,49191.0,11787.0,178058.0,167732.0,45911.0,10898.0,14556.0,27018.0,11241.0,13535.0,13729.0,15482.0,24013.0,12449.0,34051.0,156976.0,17175.0,75676.0,12613.0,6203.0,12039.0,9526.0,9484.0,12289.0,99352.0,40129.0,13620.0,173100.0,7559.0,10575.0,8823.0,19060.0,9810.0,19391.0,10569.0,4280.0,9814.0,14150.0,10155.0,29076.0,8444.0,4927.0,67984.0,4752.0,210734.0,148.0,9597.0,9028.0,16992.0,10991.0,158641.0,51801.0,14663.0,72430.0,14757.0,17143.0,13821.0,43855.0,11171.0,62304.0,12150.0,23615.0,9216.0,7298.0,6423.0,,4916.0,116667.0,166040.0,5818.0,13291.0,48263.0,11940.0,49805.0,108195.0,42929.0,12172.0,13409.0,5753.0,6193.0,26770.0,13221.0,43006.0,10680.0,17527.0,12241.0,62142.0,18560.0,39596.0,80665.0,8687.0,47117.0,46193.0,13622.0,10323.0,7025.0,22065.0,8283.0
2017-06,238050.0,39540.0,161778.0,10347.0,123576.0,197717.0,12949.0,10723.0,11460.0,15673.0,11030.0,16908.0,23080.0,8987.0,27140.0,11702.0,19878.0,106506.0,27261.0,53554.0,15845.0,7304.0,15644.0,30648.0,9664.0,12975.0,159513.0,26279.0,13575.0,120990.0,6709.0,11198.0,47442.0,94954.0,13744.0,42763.0,17991.0,6003.0,15049.0,81586.0,10871.0,57349.0,12234.0,5885.0,56714.0,4910.0,296436.0,94.0,17740.0,12534.0,10346.0,11903.0,704016.0,68973.0,13642.0,43441.0,26462.0,24751.0,14110.0,81837.0,12340.0,199832.0,136140.0,16201.0,9690.0,8192.0,5998.0,,5546.0,217101.0,69377.0,7386.0,18176.0,33737.0,13529.0,100950.0,23753.0,159203.0,12788.0,18514.0,6709.0,4821.0,111803.0,53260.0,13459.0,20484.0,15876.0,6532.0,221280.0,19720.0,37484.0,68631.0,9159.0,9360.0,40937.0,16000.0,12023.0,6689.0,107480.0,10656.0
2017-07,130598.0,38030.0,35013.0,14243.0,79926.0,141128.0,14831.0,11082.0,9519.0,14874.0,12866.0,13454.0,15097.0,9717.0,20529.0,11470.0,28835.0,90847.0,22066.0,66767.0,16732.0,14752.0,9979.0,30121.0,10822.0,40563.0,59143.0,28334.0,13458.0,95230.0,10989.0,14005.0,4840.0,13328.0,15230.0,49475.0,10823.0,18752.0,10161.0,5040.0,11542.0,29828.0,12524.0,5408.0,28149.0,6514.0,1104485.0,100.0,15108.0,7778.0,18243.0,17871.0,256888.0,42585.0,18759.0,93006.0,149356.0,26633.0,18252.0,36777.0,14468.0,47491.0,9176.0,45481.0,11264.0,6230.0,12685.0,,5160.0,182216.0,62042.0,7724.0,17691.0,33732.0,14014.0,74375.0,23010.0,13839.0,13834.0,21559.0,7107.0,4341.0,20133.0,13092.0,16149.0,33489.0,20462.0,8658.0,165350.0,20185.0,48820.0,68899.0,9585.0,10944.0,42281.0,19223.0,9536.0,9267.0,21313.0,11312.0
2017-08,177758.0,26394.0,16070.0,11067.0,34156.0,113302.0,7529.0,10676.0,9751.0,50509.0,39744.0,19552.0,12210.0,8567.0,15575.0,8285.0,14684.0,61321.0,26840.0,64182.0,24845.0,6756.0,23647.0,14437.0,6435.0,14794.0,48168.0,16642.0,11851.0,81018.0,6098.0,9190.0,3359.0,9636.0,12821.0,139628.0,8152.0,4528.0,8825.0,6697.0,11566.0,35264.0,5559.0,4617.0,20306.0,4526.0,357800.0,104.0,7194.0,6881.0,8139.0,9374.0,161422.0,32363.0,18105.0,64425.0,26814.0,66240.0,14961.0,39679.0,9363.0,18681.0,7395.0,17041.0,11815.0,4579.0,4180.0,,3442.0,176317.0,73914.0,4806.0,10102.0,21041.0,9368.0,37291.0,204853.0,14736.0,12352.0,11473.0,5454.0,3693.0,10781.0,10309.0,7502.0,10037.0,17928.0,5208.0,33350.0,14243.0,51943.0,70490.0,8339.0,16632.0,38870.0,28401.0,8510.0,6104.0,35622.0,13308.0
