date	user accounts	new accts	>5 edits	>100 edits	article count	articles > 200ch	new per day	mean edits	edits
Jan 2008	313231	9999	42689	4270	2.1 M	2.1 M	1688	57.7	4.3 M
Feb 2008	323394	10163	42483	4083	2.1 M	2.1 M	1980	58.1	4.2 M
Mar 2008	334182	10788	44739	4422	2.2 M	2.2 M	1481	59.1	4.8 M
Apr 2008	344621	10439	43790	4191	2.2 M	2.3 M	1401	59.9	4.3 M
May 2008	354822	10201	42914	4152	2.3 M	2.3 M	1340	60.7	4.3 M
Jun 2008	364213	9391	39978	3961	2.3 M	2.3 M	1345	61.4	4.1 M
Jul 2008	373664	9451	40550	4084	2.4 M	2.4 M	1648	61.8	4.1 M
Aug 2008	382775	9111	39936	4072	2.4 M	2.5 M	1825	62.1	4.1 M
Sep 2008	391384	8609	38685	3843	2.5 M	2.5 M	1134	63	4.4 M
Oct 2008	400745	9361	40110	4005	2.5 M	2.5 M	1384	63.7	4.5 M
Nov 2008	409401	8656	38631	3770	2.5 M	2.6 M	1151	64.5	4.1 M
Dec 2008	417921	8520	38176	3766	2.6 M	2.6 M	1230	65.1	4.0 M
Jan 2009	427150	9229	40750	4107	2.6 M	2.7 M	1413	65.6	4.3 M
Feb 2009	436199	9049	39135	3771	2.7 M	2.7 M	1485	66.2	4.1 M
Mar 2009	445798	9599	41401	4050	2.7 M	2.8 M	1654	66.5	4.4 M
Apr 2009	454748	8950	39259	3868	2.7 M	2.8 M	1378	67	4.0 M
May 2009	463903	9155	39935	3985	2.8 M	2.8 M	1200	67.6	4.2 M
Jun 2009	472669	8766	38927	3810	2.8 M	2.9 M	1158	68.1	3.9 M
Jul 2009	481594	8925	38604	3782	2.9 M	2.9 M	1446	68.4	3.8 M
Aug 2009	490215	8621	38279	3870	2.9 M	3.0 M	1452	68.7	3.9 M
Sep 2009	498334	8119	36905	3776	2.9 M	3.0 M	1047	69.3	3.9 M
Oct 2009	507083	8749	38191	3753	3.0 M	3.0 M	1085	69.8	3.9 M
Nov 2009	515400	8317	37592	3560	3.0 M	3.1 M	1037	70.4	3.9 M
Dec 2009	523307	7907	36389	3545	3.0 M	3.1 M	1108	71	4.3 M
Jan 2010	531864	8557	38343	3875	3.1 M	3.1 M	1173	71.4	3.9 M
Feb 2010	540079	8215	36822	3645	3.1 M		1090	72	3.8 M
Mar 2010	548881	8802	38715	3775	3.1 M		1034	72.5	4.1 M
Apr 2010	557332	8451	37538	3685	3.2 M		1304	72.9	4.0 M
May 2010	565782	8450	37840	3607	3.2 M		1066	73.4	4.0 M
Jun 2010	573283	7501	34916	3465	3.2 M		1006	73.9	3.9 M
Jul 2010	580756	7473	34506	3499	3.3 M		990	74.3	3.6 M
Aug 2010	588489	7733	35121	3672	3.3 M		1170	74.7	3.8 M
Sep 2010	595555	7066	33614	3476	3.3 M		1087	75.1	3.9 M
Oct 2010	602906	7351	34204	3528	3.4 M		984	75.7	4.1 M
Nov 2010	610027	7121	33576	3337	3.4 M		1134	76	3.9 M
Dec 2010	617122	7095	32908	3346	3.4 M		976	76.4	3.6 M
Jan 2011	625095	7973	36372	3617	3.5 M		1020	76.9	4.0 M
Feb 2011	633081	7986	35367	3321	3.5 M		962	77.3	3.5 M
Mar 2011	641746	8665	37252	3454	3.5 M		915	77.7	3.5 M
Apr 2011	650042	8296	35946	3355	3.6 M		895	78.1	3.5 M
May 2011	657826	7784	35574	3346	3.6 M		852	78.5	3.5 M
Jun 2011	665487	7661	34440	3270	3.6 M		866	78.9	3.5 M
Jul 2011	673078	7591	34233	3354	3.6 M		870	79.3	3.6 M
Aug 2011	680649	7571	34382	3395	3.7 M		987	79.6	3.4 M
Sep 2011	687686	7037	33546	3219	3.7 M		1038	79.8	3.4 M
Oct 2011	695080	7394	33810	3291	3.7 M		963	80.1	3.4 M
Nov 2011	702281	7201	33146	3230	3.7 M		906	80.4	3.3 M
Dec 2011	709248	6967	32894	3345	3.8 M		842	80.7	3.3 M
Jan 2012	716306	7058	33892	3431	3.8 M		917	81	3.6 M
Feb 2012	723129	6823	32984	3208	3.8 M		929	81.4	3.4 M
Mar 2012	730423	7294	33408	3289	3.9 M		863	81.7	3.5 M
Apr 2012	737584	7161	32852	3301	3.9 M		963	82	3.3 M
May 2012	744505	6921	33253	3339	3.9 M		1073	82.2	3.6 M
Jun 2012	751057	6552	31920	3213	4.0 M		1025	82.3	3.2 M
Jul 2012	757914	6857	32844	3339	4.0 M		1037	82.5	3.4 M
Aug 2012	764492	6578	32564	3421	4.0 M		937	82.8	3.4 M
Sep 2012	770524	6032	30593	3140	4.0 M		863	83	3.1 M
Oct 2012	777161	6637	31892	3200	4.1 M		841	83.4	3.4 M
Nov 2012	783688	6527	31662	3092	4.1 M		809	83.7	3.4 M
Dec 2012	789869	6181	30953	3177	4.1 M		879	84	3.3 M
Jan 2013	796444	6575	32694	3379	4.1 M		851	84.3	3.6 M
Feb 2013	802729	6285	30678	3041	4.2 M		830	84.7	3.9 M
Mar 2013	809460	6731	32554	3304	4.2 M		845	85.4	4.7 M
Apr 2013	816683	7223	32728	3263	4.2 M		882	85.6	3.3 M
May 2013	823466	6783	32462	3281	4.2 M		837	85.8	3.2 M
Jun 2013	829495	6029	30175	3196	4.3 M		889	86	3.0 M
Jul 2013	835773	6278	30243	3120	4.3 M		852	86.1	2.9 M
Aug 2013	842224	6451	30219	3116	4.3 M		858	86.3	2.9 M
Sep 2013	847647	5423	28046	2841	4.3 M		793	86.5	2.8 M
Oct 2013	854172	6525	30239	2963	4.4 M		918	86.6	3.0 M
Nov 2013	860603	6431	29749	2896	4.4 M		919	86.7	2.9 M
Dec 2013	866791	6188	29581	3078	4.4 M		827	86.9	3.0 M
Jan 2014	873176	6385	31121	3223	4.5 M		927	87	3.2 M
Feb 2014	879394	6218	29292	2955	4.5 M		974	87.1	2.8 M
Mar 2014	886028	6634	31177	3126	4.5 M		813	87.3	3.1 M
Apr 2014	892375	6347	30153	2975	4.5 M		794	87.5	3.0 M
May 2014	899192	6817	31703	3047	4.6 M		789	87.7	3.0 M
Jun 2014	905472	6280	29826	2976	4.6 M		791	87.9	2.7 M
Jul 2014	912342	6870	31641	3012	4.6 M		920	87.9	2.8 M
Aug 2014	918986	6644	31441	3099	4.6 M		820	88.1	2.9 M
Sep 2014	924813	5827	29033	2880	4.7 M		789	88.2	2.8 M
Oct 2014	931473	6660	31004	2974	4.7 M		879	88.3	2.8 M
Nov 2014	938017	6544	30647	2904	4.7 M		887	88.4	2.8 M
Dec 2014	944573	6556	30621	3053	4.7 M		767	88.6	2.8 M
Jan 2015	951231	6658	32280	3302	4.8 M		902	88.7	3.1 M
Feb 2015	957880	6649	31002	3035	4.8 M		874	88.8	2.8 M
Mar 2015	965356	7476	34033	3294	4.8 M		842	89	3.1 M
Apr 2015	972231	6875	31805	3149	4.8 M		804	89.2	3.2 M
May 2015	978786	6555	31420	3213	4.9 M		763	89.4	3.3 M
Jun 2015	985170	6384	30421	3233	4.9 M		809	89.6	3.1 M
Jul 2015	991682	6512	31054	3386	4.9 M		884	89.8	3.1 M
Aug 2015	997907	6225	30591	3444	4.9 M		849	90	3.3 M
Sep 2015	1003488	5581	29320	3321	5.0 M		732	90.2	3.2 M
Oct 2015	1009398	5910	30395	3349	5.0 M		787	90.4	3.2 M
Nov 2015	1015396	5998	30387	3318	5.0 M		787	90.6	3.1 M
Dec 2015	1020836	5440	29261	3263	5.0 M		766	90.8	3.1 M
Jan 2016	1026469	5633	30917	3482	5.1 M		875	91	3.4 M
Feb 2016	1031993	5524	29705	3215	5.1 M		859	91.2	3.4 M
Mar 2016	1038107	6114	31614	3442	5.1 M		823	91.5	3.6 M
Apr 2016	1043957	5850	30728	3312	5.1 M		823	91.7	3.4 M
May 2016	1049588	5631	30830	3362	5.2 M		893	91.9	3.6 M
